c,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19
a0,84,17,73,2,68,86,29,70,68,92,27,95,14,90,3,55,51,39,69,45
a1,65,77,99,88,11,41,45,22,66,46,27,72,56,54,15,12,97,84,51,14
a2,4,35,58,83,22,14,64,68,64,96,82,57,39,26,41,98,60,20,51,64
a3,25,80,12,59,1,49,100,2,38,76,87,99,99,60,66,28,33,62,95,88
a4,2,65,37,76,100,99,61,43,53,74,85,5,0,79,6,95,49,77,7,87
a5,23,48,36,1,61,44,19,20,10,30,55,90,98,82,24,56,37,86,32,31
a6,65,40,2,36,32,92,59,50,5,46,49,62,15,92,29,1,34,81,49,51
a7,47,99,41,70,40,1,41,44,83,37,70,92,45,48,100,40,55,91,32,22
a8,7,36,26,13,43,92,97,34,20,92,82,24,52,48,90,94,57,64,44,74
a9,79,82,51,17,70,84,51,0,89,20,62,43,77,58,28,83,47,68,55,98
a10,5,17,30,96,8,73,67,92,3,56,61,38,100,63,26,64,60,21,58,12
a11,30,92,71,15,53,66,83,95,75,27,52,30,55,73,36,43,98,20,35,70
a12,61,96,56,54,19,39,93,36,68,15,79,7,70,49,2,55,55,90,8,81
a13,71,56,31,60,85,15,10,74,23,31,66,72,79,59,89,77,16,93,28,81
a14,50,67,94,46,15,54,50,88,90,59,85,37,15,82,56,3,24,30,82,28
a15,18,2,19,72,1,75,47,56,42,48,58,12,49,71,72,44,40,82,19,44
a16,51,88,22,3,26,51,51,70,59,84,70,31,73,13,55,63,72,96,69,7
a17,45,20,100,21,52,36,17,81,65,70,60,88,80,37,25,64,47,53,4,23
a18,79,11,85,59,75,8,66,7,70,59,92,84,49,84,99,82,86,46,42,83
a19,98,42,0,55,67,49,93,80,54,62,25,46,25,48,89,10,5,65,28,59
a20,80,29,40,28,100,30,99,100,0,17,51,63,51,93,6,90,79,7,59,11
a21,44,75,31,68,47,5,86,16,60,42,94,26,22,9,21,77,41,98,12,47
a22,70,86,33,72,84,96,52,95,75,86,79,21,91,90,23,92,47,17,71,98
a23,73,88,13,29,16,42,49,10,25,25,90,82,86,8,28,31,3,22,82,58
a24,40,52,0,16,17,84,89,23,58,71,26,75,2,87,63,47,69,13,44,56
a25,30,78,0,58,66,8,19,70,15,51,54,95,41,91,81,55,59,4,77,84
a26,39,26,57,73,33,65,51,90,54,88,83,89,29,28,33,6,25,54,69,16
a27,74,72,6,8,70,25,18,63,27,91,89,22,77,60,69,23,32,49,29,83
a28,48,7,82,39,60,87,7,86,13,83,21,33,89,8,69,11,79,4,20,15
a29,61,51,82,43,98,90,29,36,47,1,36,2,66,88,96,28,51,62,10,64
a30,58,15,24,9,87,62,58,64,16,72,88,2,4,4,100,22,91,12,18,5
a31,80,47,81,69,46,13,18,79,32,6,73,11,95,5,70,40,43,63,14,79
a32,85,96,30,11,35,20,82,32,16,67,34,39,14,50,18,88,96,60,32,75
a33,24,1,9,65,32,48,79,8,43,18,42,63,35,69,58,6,36,10,61,36
a34,8,60,6,57,89,37,7,31,40,43,81,11,90,69,73,52,7,24,47,54
a35,54,3,41,27,36,33,52,38,4,25,83,36,82,38,83,43,21,35,96,16
a36,89,67,37,90,64,77,98,12,50,57,34,84,17,10,95,38,72,50,59,0
a37,83,34,22,54,66,60,46,84,58,15,99,10,63,64,52,64,56,16,72,38
a38,19,42,66,38,56,94,29,20,90,0,82,100,41,5,38,99,70,61,30,64
a39,94,71,86,21,10,87,70,65,14,58,7,98,67,4,98,87,92,7,1,6
a40,77,100,28,71,7,16,2,43,65,66,51,72,70,70,44,59,23,69,45,59
a41,20,85,58,52,9,42,75,43,93,48,98,43,43,13,99,65,34,36,30,85
a42,30,27,27,49,65,16,25,0,32,77,69,45,69,82,24,16,20,45,31,89
a43,19,61,44,13,29,44,93,88,36,29,29,29,39,16,93,44,23,52,33,60
a44,91,76,40,52,43,18,38,8,9,66,45,14,63,13,93,2,25,69,40,25
a45,0,64,84,13,10,85,14,39,9,46,33,30,67,88,53,19,15,89,20,23
a46,52,56,93,85,49,80,1,59,41,74,32,100,12,91,12,74,65,78,78,66
a47,25,57,69,47,82,29,34,61,8,2,17,32,12,42,90,82,51,66,59,92
a48,5,71,95,1,35,60,86,37,36,69,75,45,76,83,61,68,89,65,86,62
a49,7,55,15,80,29,95,48,34,89,12,73,74,29,54,70,24,34,38,12,69
a50,39,71,28,13,45,100,26,92,78,64,49,39,25,37,20,76,37,4,14,15
a51,52,74,98,88,58,11,32,27,37,35,62,86,43,31,4,76,26,31,54,5
a52,61,60,52,67,64,22,44,64,76,44,64,32,2,38,47,32,55,48,65,41
a53,82,2,7,63,55,14,45,12,34,40,10,20,28,10,28,34,22,64,44,23
a54,94,97,89,89,87,38,69,25,83,59,92,60,43,25,42,55,63,92,24,77
a55,18,0,67,57,87,25,12,72,93,16,22,100,57,38,12,13,48,14,37,22
a56,45,5,79,34,34,13,79,1,64,10,66,52,98,90,79,38,86,61,70,1
a57,40,78,54,12,92,1,76,39,81,15,85,36,11,85,86,2,36,49,42,74
a58,30,78,41,36,25,24,79,93,18,91,74,9,38,5,16,28,53,12,17,0
a59,24,93,0,96,2,28,15,11,0,8,40,45,44,80,7,48,13,71,29,71
a60,11,99,98,55,62,31,71,10,93,89,63,45,24,85,87,38,12,100,37,31
a61,98,43,6,69,4,47,83,3,19,98,33,41,13,59,79,16,21,7,100,28
a62,62,30,71,99,94,97,85,34,1,91,58,2,70,22,6,66,83,64,92,3
a63,91,74,25,57,65,70,26,78,23,61,80,82,62,1,77,68,52,91,80,68
a64,63,50,6,58,55,49,5,4,79,34,96,41,86,15,39,32,49,42,22,11
a65,91,58,46,6,86,95,78,49,98,46,89,99,65,92,49,37,92,6,16,69
a66,69,41,33,54,90,84,64,10,26,57,7,19,62,62,25,36,58,41,93,42
a67,43,19,56,72,86,44,71,32,50,23,41,82,74,69,77,24,15,13,84,95
a68,86,7,23,70,99,99,5,23,52,0,51,87,79,85,6,38,43,10,58,82
a69,89,5,55,8,70,0,27,49,93,92,7,80,11,52,54,45,3,50,99,40
a70,51,51,92,19,7,37,71,41,21,72,93,64,14,71,27,75,49,93,53,78
a71,3,16,15,85,55,32,54,67,62,70,50,36,45,45,33,30,13,15,85,97
a72,68,60,23,42,84,53,17,63,83,81,58,93,58,24,99,71,98,20,2,11
a73,97,43,63,46,39,39,20,72,33,1,62,47,69,52,75,79,26,33,82,11
a74,80,34,70,42,6,2,71,41,6,45,1,5,59,74,60,54,41,64,17,17
a75,82,53,1,23,12,10,66,60,76,49,72,35,57,5,20,64,43,44,36,85
a76,36,34,43,59,28,54,62,71,4,23,58,5,31,8,19,97,67,4,69,45
a77,1,9,29,39,62,54,61,13,34,99,91,77,48,7,76,39,98,82,26,83
a78,78,15,39,53,93,38,37,37,94,64,0,49,41,35,62,3,28,79,74,8
a79,34,49,66,88,96,17,12,32,1,16,96,96,84,96,83,72,91,71,15,55
a80,21,61,73,62,90,44,18,28,100,0,99,92,15,2,2,35,6,7,27,1
a81,71,54,48,30,85,39,25,48,7,23,96,13,72,29,29,99,29,5,1,54
a82,12,37,14,14,2,11,64,16,8,13,45,24,87,96,29,94,83,6,92,5
a83,71,5,74,2,48,36,58,66,18,32,36,93,93,58,3,59,17,65,30,93
a84,46,83,13,9,41,71,59,10,80,84,57,91,71,42,35,94,39,60,61,68
a85,42,25,51,62,18,52,74,88,62,41,75,15,70,76,83,88,32,78,20,95
a86,40,62,2,49,56,73,25,96,33,58,61,65,53,25,81,80,37,72,57,33
a87,60,18,99,66,75,94,49,49,40,77,69,29,36,100,93,75,83,16,47,98
a88,95,83,13,3,71,63,86,76,98,10,67,97,85,21,93,3,85,20,56,82
a89,81,47,3,44,35,67,84,84,86,59,79,21,12,97,9,41,3,32,90,87
a90,13,60,4,52,80,58,65,100,40,94,49,92,18,57,28,91,96,6,15,39
a91,72,28,44,18,19,64,21,70,18,74,85,100,79,95,84,88,97,52,24,65
a92,21,37,86,67,50,50,40,35,96,85,21,95,92,28,62,57,61,1,59,71
a93,17,64,93,81,86,96,69,27,25,50,2,27,46,63,62,37,58,46,53,62
a94,45,6,65,16,34,10,88,66,97,15,68,25,37,69,72,74,23,4,14,26
a95,44,6,95,26,82,13,84,86,79,10,35,46,99,28,100,93,8,13,5,2
a96,99,53,49,31,58,39,91,82,49,41,31,2,6,58,80,63,66,21,30,83
a97,55,98,70,49,56,40,66,52,19,59,87,4,43,3,49,52,28,14,8,81
a98,41,96,74,45,89,97,59,9,73,59,76,27,74,57,35,19,77,36,4,51
a99,30,35,85,18,93,50,71,91,15,73,54,81,82,37,56,47,21,98,93,20
w,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
f,3,5,4,4,6,6,5,2,3,3,1,3,4,4,4,2,2,1,2,1
p,15,15,18,18,11,11,10,19,17,12,10,19,17,19,18,10,18,18,11,18
q,4,4,1,5,1,5,4,4,2,1,1,5,3,4,2,4,1,5,5,2
