c,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19
a0,10,5,32,59,24,4,97,96,68,22,73,79,23,52,88,76,94,19,42,28
a1,63,87,59,98,79,27,85,97,92,64,11,6,84,5,79,51,76,67,2,99
a2,50,6,5,43,0,17,85,21,0,51,23,63,41,9,70,64,31,91,60,46
a3,12,56,24,45,34,43,61,66,87,87,5,7,54,15,7,99,81,97,0,17
a4,89,88,32,38,22,83,23,67,24,52,22,75,82,76,41,43,59,32,85,23
a5,90,87,34,85,15,87,17,19,5,76,66,33,69,100,61,50,6,7,97,66
a6,52,62,89,62,72,4,94,89,24,69,12,13,4,72,46,71,26,86,77,25
a7,60,57,1,31,9,23,36,24,91,43,89,48,38,89,6,64,61,39,11,17
a8,94,18,91,33,30,94,76,65,98,78,31,41,87,28,87,16,93,1,61,16
a9,38,9,41,16,47,31,70,47,40,8,70,34,34,10,55,53,74,0,9,85
a10,60,52,61,62,20,53,12,66,77,20,58,14,2,57,90,100,26,25,48,15
a11,68,36,33,56,23,59,16,11,22,86,61,54,18,20,95,22,33,48,64,75
a12,44,67,15,39,87,90,56,68,0,86,53,12,67,52,49,86,61,10,59,77
a13,31,6,33,0,77,5,93,43,41,70,92,6,19,96,83,18,3,64,90,82
a14,66,70,23,84,78,100,17,89,1,79,86,31,26,8,38,10,91,39,18,55
a15,60,81,4,96,74,12,75,36,100,43,35,44,82,62,44,94,34,63,97,12
a16,42,11,83,72,47,64,13,49,47,42,33,64,37,21,47,17,89,13,62,68
a17,24,70,33,45,36,92,17,11,67,92,27,60,97,61,2,42,85,77,74,6
a18,17,56,31,17,36,1,78,16,100,89,52,70,37,62,84,82,71,60,2,47
a19,75,77,98,96,59,61,44,82,88,67,83,40,78,84,33,13,31,78,6,93
a20,62,58,75,17,0,5,64,36,93,65,53,24,52,12,26,63,23,0,29,61
a21,1,78,76,51,68,42,58,90,100,44,63,29,11,71,34,1,1,16,61,98
a22,53,0,62,12,64,22,78,77,43,3,49,67,43,70,53,100,1,17,99,22
a23,24,79,25,44,65,96,52,8,63,17,54,100,75,87,59,16,28,3,98,54
a24,42,73,73,61,54,53,18,32,76,84,17,49,69,40,56,80,58,85,99,22
a25,93,5,44,11,98,37,47,80,49,46,40,23,79,10,7,12,75,42,83,19
a26,42,82,79,10,25,70,35,61,46,11,49,96,29,49,45,24,55,76,68,40
a27,6,66,96,71,58,76,95,27,18,21,94,88,57,76,21,86,95,42,67,3
a28,39,4,42,88,27,85,39,10,6,27,5,56,26,96,11,36,20,16,62,54
a29,19,49,61,89,2,74,61,57,92,18,46,51,64,22,76,12,78,1,33,38
a30,29,0,92,95,47,4,36,51,86,75,13,27,85,81,86,11,27,40,14,98
a31,44,34,11,35,96,69,12,12,22,28,96,31,67,82,31,50,49,54,58,51
a32,59,82,85,53,50,54,34,21,76,90,18,81,15,56,9,55,92,82,44,40
a33,68,65,22,55,18,88,18,10,27,9,95,85,23,13,25,46,39,57,89,53
a34,75,91,66,50,1,23,44,99,81,67,48,96,75,51,77,6,52,42,93,63
a35,8,28,19,83,2,69,55,100,22,71,28,20,9,79,15,56,41,20,26,34
a36,54,20,40,70,22,74,99,62,96,62,97,35,76,40,49,32,53,34,12,27
a37,22,10,71,57,92,18,2,57,79,42,33,1,32,98,81,37,47,54,39,11
a38,3,69,40,93,9,92,18,95,39,6,96,48,42,42,67,82,44,66,0,78
a39,54,25,55,80,32,29,94,1,4,51,59,55,3,63,15,10,99,36,13,88
a40,2,58,98,80,82,73,87,5,44,84,48,49,23,11,25,34,70,52,7,75
a41,18,82,88,82,63,98,50,53,32,8,56,82,96,93,35,76,19,11,61,71
